2	0.620	0.682	0.203	0.080	0	0	1	Iris-Setosa
3	0.595	0.727	0.188	0.080	0	0	1	Iris-Setosa
4	0.582	0.705	0.217	0.080	0	0	1	Iris-Setosa
5	0.633	0.818	0.203	0.080	0	0	1	Iris-Setosa
6	0.684	0.886	0.246	0.160	0	0	1	Iris-Setosa
10	0.620	0.705	0.217	0.040	0	0	1	Iris-Setosa
11	0.684	0.841	0.217	0.080	0	0	1	Iris-Setosa
12	0.608	0.773	0.232	0.080	0	0	1	Iris-Setosa
13	0.608	0.682	0.203	0.040	0	0	1	Iris-Setosa
14	0.544	0.682	0.159	0.040	0	0	1	Iris-Setosa
15	0.734	0.909	0.174	0.080	0	0	1	Iris-Setosa
17	0.684	0.886	0.188	0.160	0	0	1	Iris-Setosa
18	0.646	0.795	0.203	0.120	0	0	1	Iris-Setosa
19	0.722	0.864	0.246	0.120	0	0	1	Iris-Setosa
20	0.646	0.864	0.217	0.120	0	0	1	Iris-Setosa
21	0.684	0.773	0.246	0.080	0	0	1	Iris-Setosa
23	0.582	0.818	0.145	0.080	0	0	1	Iris-Setosa
24	0.646	0.750	0.246	0.200	0	0	1	Iris-Setosa
25	0.608	0.773	0.275	0.080	0	0	1	Iris-Setosa
26	0.633	0.682	0.232	0.080	0	0	1	Iris-Setosa
28	0.658	0.795	0.217	0.080	0	0	1	Iris-Setosa
29	0.658	0.773	0.203	0.080	0	0	1	Iris-Setosa
30	0.595	0.727	0.232	0.080	0	0	1	Iris-Setosa
31	0.608	0.705	0.232	0.080	0	0	1	Iris-Setosa
33	0.658	0.932	0.217	0.040	0	0	1	Iris-Setosa
34	0.696	0.955	0.203	0.080	0	0	1	Iris-Setosa
35	0.620	0.705	0.217	0.040	0	0	1	Iris-Setosa
36	0.633	0.727	0.174	0.080	0	0	1	Iris-Setosa
37	0.696	0.795	0.188	0.080	0	0	1	Iris-Setosa
38	0.620	0.705	0.217	0.040	0	0	1	Iris-Setosa
40	0.646	0.773	0.217	0.080	0	0	1	Iris-Setosa
41	0.633	0.795	0.188	0.120	0	0	1	Iris-Setosa
42	0.570	0.523	0.188	0.120	0	0	1	Iris-Setosa
44	0.633	0.795	0.232	0.240	0	0	1	Iris-Setosa
45	0.646	0.864	0.275	0.160	0	0	1	Iris-Setosa
46	0.608	0.682	0.203	0.120	0	0	1	Iris-Setosa
47	0.646	0.864	0.232	0.080	0	0	1	Iris-Setosa
48	0.582	0.727	0.203	0.080	0	0	1	Iris-Setosa
49	0.671	0.841	0.217	0.080	0	0	1	Iris-Setosa
50	0.633	0.750	0.203	0.080	0	0	1	Iris-Setosa
52	0.810	0.727	0.652	0.600	0	1	0	Iris-Versicolor
53	0.873	0.705	0.710	0.600	0	1	0	Iris-Versicolor
54	0.696	0.523	0.580	0.520	0	1	0	Iris-Versicolor
55	0.823	0.636	0.667	0.600	0	1	0	Iris-Versicolor
56	0.722	0.636	0.652	0.520	0	1	0	Iris-Versicolor
58	0.620	0.545	0.478	0.400	0	1	0	Iris-Versicolor
60	0.658	0.614	0.565	0.560	0	1	0	Iris-Versicolor
61	0.633	0.455	0.507	0.400	0	1	0	Iris-Versicolor
62	0.747	0.682	0.609	0.600	0	1	0	Iris-Versicolor
63	0.759	0.500	0.580	0.400	0	1	0	Iris-Versicolor
65	0.709	0.659	0.522	0.520	0	1	0	Iris-Versicolor
67	0.709	0.682	0.652	0.600	0	1	0	Iris-Versicolor
68	0.734	0.614	0.594	0.400	0	1	0	Iris-Versicolor
69	0.785	0.500	0.652	0.600	0	1	0	Iris-Versicolor
70	0.709	0.568	0.565	0.440	0	1	0	Iris-Versicolor
71	0.747	0.727	0.696	0.720	0	1	0	Iris-Versicolor
72	0.772	0.636	0.580	0.520	0	1	0	Iris-Versicolor
74	0.772	0.636	0.681	0.480	0	1	0	Iris-Versicolor
75	0.810	0.659	0.623	0.520	0	1	0	Iris-Versicolor
76	0.835	0.682	0.638	0.560	0	1	0	Iris-Versicolor
77	0.861	0.636	0.696	0.560	0	1	0	Iris-Versicolor
78	0.848	0.682	0.725	0.680	0	1	0	Iris-Versicolor
80	0.722	0.591	0.507	0.400	0	1	0	Iris-Versicolor
82	0.696	0.545	0.536	0.400	0	1	0	Iris-Versicolor
83	0.734	0.614	0.565	0.480	0	1	0	Iris-Versicolor
84	0.759	0.614	0.739	0.640	0	1	0	Iris-Versicolor
86	0.759	0.773	0.652	0.640	0	1	0	Iris-Versicolor
87	0.848	0.705	0.681	0.600	0	1	0	Iris-Versicolor
88	0.797	0.523	0.638	0.520	0	1	0	Iris-Versicolor
89	0.709	0.682	0.594	0.520	0	1	0	Iris-Versicolor
90	0.696	0.568	0.580	0.520	0	1	0	Iris-Versicolor
91	0.696	0.591	0.638	0.480	0	1	0	Iris-Versicolor
92	0.772	0.682	0.667	0.560	0	1	0	Iris-Versicolor
94	0.633	0.523	0.478	0.400	0	1	0	Iris-Versicolor
95	0.709	0.614	0.609	0.520	0	1	0	Iris-Versicolor
96	0.722	0.682	0.609	0.480	0	1	0	Iris-Versicolor
97	0.722	0.659	0.609	0.520	0	1	0	Iris-Versicolor
98	0.785	0.659	0.623	0.520	0	1	0	Iris-Versicolor
99	0.646	0.568	0.435	0.440	0	1	0	Iris-Versicolor
100	0.722	0.636	0.594	0.520	0	1	0	Iris-Versicolor
